,day,new_diagnoses,new_deaths,key,popData2019,continentExp,date
18028,61,0,0,Nigeria,200963603,Africa,2020-03-01
18027,62,0,0,Nigeria,200963603,Africa,2020-03-02
18026,70,1,0,Nigeria,200963603,Africa,2020-03-10
18025,75,0,0,Nigeria,200963603,Africa,2020-03-15
18024,76,0,0,Nigeria,200963603,Africa,2020-03-16
18023,77,1,0,Nigeria,200963603,Africa,2020-03-17
18022,78,4,0,Nigeria,200963603,Africa,2020-03-18
18021,79,4,0,Nigeria,200963603,Africa,2020-03-19
18020,80,0,0,Nigeria,200963603,Africa,2020-03-20
18019,81,7,0,Nigeria,200963603,Africa,2020-03-21
18018,82,6,0,Nigeria,200963603,Africa,2020-03-22
18017,83,6,0,Nigeria,200963603,Africa,2020-03-23
18016,84,1,1,Nigeria,200963603,Africa,2020-03-24
18015,85,3,0,Nigeria,200963603,Africa,2020-03-25
18014,86,12,0,Nigeria,200963603,Africa,2020-03-26
18013,87,8,0,Nigeria,200963603,Africa,2020-03-27
18012,88,7,0,Nigeria,200963603,Africa,2020-03-28
18011,89,9,0,Nigeria,200963603,Africa,2020-03-29
18010,90,13,0,Nigeria,200963603,Africa,2020-03-30
18009,91,1,1,Nigeria,200963603,Africa,2020-03-31
18008,92,9,0,Nigeria,200963603,Africa,2020-04-01
18007,93,7,0,Nigeria,200963603,Africa,2020-04-02
18006,94,11,0,Nigeria,200963603,Africa,2020-04-03
18005,95,0,0,Nigeria,200963603,Africa,2020-04-04
18004,96,11,2,Nigeria,200963603,Africa,2020-04-05
18003,97,0,1,Nigeria,200963603,Africa,2020-04-06
18002,98,10,0,Nigeria,200963603,Africa,2020-04-07
18001,99,15,1,Nigeria,200963603,Africa,2020-04-08
18000,100,10,0,Nigeria,200963603,Africa,2020-04-09
17999,101,8,1,Nigeria,200963603,Africa,2020-04-10
17998,102,11,0,Nigeria,200963603,Africa,2020-04-11
17997,103,2,3,Nigeria,200963603,Africa,2020-04-12
17996,104,13,0,Nigeria,200963603,Africa,2020-04-13
17995,105,25,0,Nigeria,200963603,Africa,2020-04-14
17994,106,18,1,Nigeria,200963603,Africa,2020-04-15
17993,107,19,1,Nigeria,200963603,Africa,2020-04-16
17992,108,32,1,Nigeria,200963603,Africa,2020-04-17
17991,109,23,4,Nigeria,200963603,Africa,2020-04-18
17990,110,70,2,Nigeria,200963603,Africa,2020-04-19
17989,111,0,2,Nigeria,200963603,Africa,2020-04-20
17988,112,54,1,Nigeria,200963603,Africa,2020-04-21
17987,113,74,3,Nigeria,200963603,Africa,2020-04-22
17986,114,78,3,Nigeria,200963603,Africa,2020-04-23
17985,115,79,3,Nigeria,200963603,Africa,2020-04-24
17984,116,28,1,Nigeria,200963603,Africa,2020-04-25
17983,117,42,3,Nigeria,200963603,Africa,2020-04-26
17982,118,33,5,Nigeria,200963603,Africa,2020-04-27
17981,119,80,0,Nigeria,200963603,Africa,2020-04-28
17980,120,87,4,Nigeria,200963603,Africa,2020-04-29
17979,121,45,7,Nigeria,200963603,Africa,2020-04-30
17978,122,30,7,Nigeria,200963603,Africa,2020-05-01
17977,123,62,10,Nigeria,200963603,Africa,2020-05-02
17976,124,39,17,Nigeria,200963603,Africa,2020-05-03
17975,125,76,2,Nigeria,200963603,Africa,2020-05-04
17974,126,42,6,Nigeria,200963603,Africa,2020-05-05
17973,127,82,5,Nigeria,200963603,Africa,2020-05-06
17972,128,183,5,Nigeria,200963603,Africa,2020-05-07
17971,129,176,4,Nigeria,200963603,Africa,2020-05-08
17970,130,97,10,Nigeria,200963603,Africa,2020-05-09
17969,131,81,11,Nigeria,200963603,Africa,2020-05-10
17968,132,88,15,Nigeria,200963603,Africa,2020-05-11
17967,133,57,7,Nigeria,200963603,Africa,2020-05-12
17966,134,51,8,Nigeria,200963603,Africa,2020-05-13
17965,135,58,6,Nigeria,200963603,Africa,2020-05-14
17964,136,171,3,Nigeria,200963603,Africa,2020-05-15
17963,137,95,4,Nigeria,200963603,Africa,2020-05-16
17962,138,177,5,Nigeria,200963603,Africa,2020-05-17
17961,139,74,6,Nigeria,200963603,Africa,2020-05-18
17960,140,131,9,Nigeria,200963603,Africa,2020-05-19
17959,141,199,1,Nigeria,200963603,Africa,2020-05-20
17958,142,139,8,Nigeria,200963603,Africa,2020-05-21
17957,143,131,11,Nigeria,200963603,Africa,2020-05-22
17956,144,133,10,Nigeria,200963603,Africa,2020-05-23
17955,145,148,0,Nigeria,200963603,Africa,2020-05-24
17954,146,90,5,Nigeria,200963603,Africa,2020-05-25
17953,147,161,7,Nigeria,200963603,Africa,2020-05-26
17952,148,256,16,Nigeria,200963603,Africa,2020-05-27
17951,149,111,5,Nigeria,200963603,Africa,2020-05-28
17950,150,254,5,Nigeria,200963603,Africa,2020-05-29
17949,151,378,2,Nigeria,200963603,Africa,2020-05-30
17948,152,188,12,Nigeria,200963603,Africa,2020-05-31
17947,153,192,14,Nigeria,200963603,Africa,2020-06-01
17946,154,142,12,Nigeria,200963603,Africa,2020-06-02
17945,155,163,15,Nigeria,200963603,Africa,2020-06-03
17944,156,102,1,Nigeria,200963603,Africa,2020-06-04
17943,157,121,8,Nigeria,200963603,Africa,2020-06-05
17942,158,66,10,Nigeria,200963603,Africa,2020-06-06
17941,159,38,9,Nigeria,200963603,Africa,2020-06-07
17940,160,128,12,Nigeria,200963603,Africa,2020-06-08
17939,161,170,7,Nigeria,200963603,Africa,2020-06-09
17938,162,201,4,Nigeria,200963603,Africa,2020-06-10
17937,163,345,17,Nigeria,200963603,Africa,2020-06-11
17936,164,229,5,Nigeria,200963603,Africa,2020-06-12
17935,165,195,12,Nigeria,200963603,Africa,2020-06-13
17934,166,68,8,Nigeria,200963603,Africa,2020-06-14
17933,167,216,13,Nigeria,200963603,Africa,2020-06-15
17932,168,142,4,Nigeria,200963603,Africa,2020-06-16
17931,169,155,31,Nigeria,200963603,Africa,2020-06-17
17930,170,280,14,Nigeria,200963603,Africa,2020-06-18
17929,171,281,6,Nigeria,200963603,Africa,2020-06-19
17928,172,230,12,Nigeria,200963603,Africa,2020-06-20
17927,173,169,19,Nigeria,200963603,Africa,2020-06-21
17926,174,288,12,Nigeria,200963603,Africa,2020-06-22
17925,175,209,7,Nigeria,200963603,Africa,2020-06-23
17924,176,250,8,Nigeria,200963603,Africa,2020-06-24
17923,177,159,9,Nigeria,200963603,Africa,2020-06-25
17922,178,259,7,Nigeria,200963603,Africa,2020-06-26
17921,179,185,5,Nigeria,200963603,Africa,2020-06-27
17920,180,118,4,Nigeria,200963603,Africa,2020-06-28
17919,181,166,7,Nigeria,200963603,Africa,2020-06-29